AssetName,CurrentLocation,Category,VisualQuality,GeometryQuality,TexturePBRQuality,MaterialShader,Level01Usage,Classification,Reason,RecommendedTargetQuality,Priority
"HD_Plant_TropicalBush_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","MultiDomeFoliage_460tris","512x512_FoliagePBR","URPLit_Mat_HD_Foliage_Canopy","Midground_Path_Foliage_Z10","UPGRADE","Dome shape needs replacing with intersecting multi-angle leaf cards","1K_IntersectingCardsPBR","High"
"HD_Plant_GroundCover_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","8LeafCarpetPatch_192tris","512x512_FoliagePBR","URPLit_Mat_HD_Foliage_Fern","Ground_Path_Detail","UPGRADE","Needs clover and moss density variations","1K_GroundPatchPBR","Medium"
"HD_Plant_LargeLeaf_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","5BananaLeaves_310tris","512x512_BroadleafPBR","URPLit_Mat_HD_Foliage_BroadLeaf","Midground_Feature_Vegetation","UPGRADE","Needs wind tear splits along leaf ribs and wax specular highlights","1K_RibbedBananaLeafPBR","High"
"HD_Plant_HangingVine_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","TwistedSpiralMesh_384tris","512x512_BroadleafPBR","URPLit_Mat_HD_Foliage_BroadLeaf","Tree_Hanging_Canopy","UPGRADE","Needs liana bark roughness and leaf node attachments","1K_LianaBarkPBR","Medium"
"HD_Plant_FloweringBush_01","Assets/Art/Environment/HD/Plants/","Plants","Medium","BushBase_4Flowers_540tris","512x512_FloralPBR","URPLit_Mat_HD_Foliage_Flowers","Foreground_Landmark_Z22_Z25","UPGRADE","Petals need high-vibrancy tropical red/gold gradient and natural pistils","1K_TropicalHibiscusPBR","High"
"Plant_JungleFern_Original","Assets/Art/Environment/Plants/","Plants","Low","5PrimitiveCubes_60tris","FlatGreenMaterial","URPLit_Mat_JungleLeaves","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly placeholder","Disabled_Renderer","Low"
"Plant_TropicalBush_Original","Assets/Art/Environment/Plants/","Plants","Low","2ScaledSpheres_224tris","FlatGreenMaterial","URPLit_Mat_JungleLeaves","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly placeholder","Disabled_Renderer","Low"
"Plant_GlowingMushroom_Original","Assets/Art/Environment/Plants/","Plants","Low","Cylinder_Sphere_140tris","FlatCyanEmission","URPLit_Mat_DivineCyan","Hidden_By_HD_Layer","IGNORE","Obsolete placeholder; replaced by HD Flowering Bush","Disabled_Renderer","Low"
"Plant_HibiscusFlower_Original","Assets/Art/Environment/Plants/","Plants","Low","Cylinder_Sphere_130tris","FlatRedMaterial","URPLit_Mat_ParrotFeather","Hidden_By_HD_Layer","IGNORE","Obsolete placeholder; replaced by HD Flowering Bush","Disabled_Renderer","Low"
"HD_Ruin_AncientArch_01","Assets/Art/Environment/HD/Ruins/","Ruins","Medium","FlutedPillars_Lintel_640tris","512x512_MasonryPBR","URPLit_Mat_HD_Ruin_AncientMasonry","Landmark_Puzzle_Entrance_Z74","UPGRADE","Needs carved Khmer relief motifs, chipped corner bevels, and deep mossy mortar","2K_CarvedMasonryPBR_MossMortar","Critical"
"HD_Ruin_AncientPillar_01","Assets/Art/Environment/HD/Ruins/","Ruins","Medium","FlutedColumn_Base_420tris","512x512_MasonryPBR","URPLit_Mat_HD_Ruin_AncientMasonry","Courtyard_Perimeter_Ruins","UPGRADE","Needs eroded drum joints and broken fallen segment","1K_FlutedPillarPBR","High"
"HD_Ruin_BrokenWall_01","Assets/Art/Environment/HD/Ruins/","Ruins","Medium","SteppedAshlarWall_380tris","512x512_MasonryPBR","URPLit_Mat_HD_Ruin_AncientMasonry","Arena_Boundary_Cover","UPGRADE","Needs individual dressed stone blocks with uneven settling","1K_AshlarMasonryPBR","High"
"HD_Ruin_RunePedestal_01","Assets/Art/Environment/HD/Ruins/","Ruins/Puzzles","High","OctagonalAltar_Gem_580tris","High_Masonry_EmissiveCyan","URPLit_Mat_HD_Ruin_RuneGoldCyan","Active_Puzzle_Switches_Z76_Z78","KEEP","High quality octagonal altar with emissive cyan rune gem; fully bound to puzzle logic","Production_Ready","Low"
"HD_Ruin_MossyPiece_01","Assets/Art/Environment/HD/Ruins/","Ruins","Medium","SculptedMedallion_360tris","512x512_MasonryPBR","URPLit_Mat_HD_Ruin_AncientMasonry","Ground_Ruin_Scatter","UPGRADE","Needs carved celestial rune iconography and soil embedding","1K_CarvedMedallionPBR","Medium"
"HD_Ruin_StoneDebris_01","Assets/Art/Environment/HD/Ruins/","Ruins","Medium","5PieceRubble_320tris","512x512_MasonryPBR","URPLit_Mat_HD_Ruin_AncientMasonry","Archway_Door_Surrounds","UPGRADE","Needs chipped stone edges and gravel gradation","1K_StoneRubblePBR","Medium"
"Ruins_AncientArch_Original","Assets/Art/Environment/Ruins/","Ruins","Low","3PrimitiveBoxes_36tris","FlatGrayStone","URPLit_Mat_AncientStone","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly placeholder; preserved for collision","Disabled_Renderer","Low"
"Ruins_RunePedestal_Original","Assets/Art/Environment/Ruins/","Ruins","Low","Cylinder_Sphere_150tris","FlatGrayCyanGlow","URPLit_Mat_AncientStone","Hidden_By_HD_Layer","IGNORE","Obsolete low-poly placeholder; replaced by HD Altar","Disabled_Renderer","Low"
"Ruins_HeavyStoneDoor_Original","Assets/Art/Environment/Ruins/","Ruins/Gameplay","Low","2ScaledBoxes_2Spheres_52tris","FlatGrayCyanInlays","URPLit_Mat_AncientStone","Active_3Rune_Door_Z82","REPLACE","Flat box slabs are visually primitive; needs heavy carved monolithic temple door","2K_CarvedStoneDoor_IronHinges","Critical"
"Ground_Geometry_Platforms","SceneHierarchy_[01_ENVIRONMENT]","Ground/Terrain","Low","ScaledPrimitiveBoxes_12tris_each","FlatGreenMaterial","URPLit_Mat_Jungle_Ground","Full_Level01_Path_Z0_Z110","REPLACE","Flat primitive box tiles break immersion; needs organic jungle terrain with dirt trails and root steps","OrganicTerrainMesh_SplatBlending","Critical"
"Water_River_Hazard","SceneHierarchy_[02_GAMEPLAY]","Water/Hazard","Low","PrimitiveCylinderCollider","UntexturedSolidColor","StandardLit","Gameplay_Water_Zone_Z60","REPLACE","Missing realistic water shader; needs tropical teal depth fade, wave normal distortion, and foam","URP_WaterShader_DepthFade_Foam","High"
"Fire_Hazard_Zone","SceneHierarchy_[02_GAMEPLAY]","Hazard","Low","ScaledBoxPrimitive_FlameVFX","FlatOrangeEmissive","URPLit_Mat_Fire_Hazard","Fire_Hazard_Zone_Z63","UPGRADE","Orange box primitive needs replacement with charred logs, glowing embers, and heat distortion","CharredLogs_Embers_HeatVFX","Medium"
"Toxic_Mushroom_Hazard","SceneHierarchy_[02_GAMEPLAY]","Hazard","Low","ScaledSpherePrimitive_SporeVFX","FlatPurpleEmissive","URPLit_Mat_Toxic_Mushroom","Toxic_Hazard_Zone_Z68","UPGRADE","Sphere primitive needs replacement with realistic bio-luminescent alien mushroom cap","BioluminescentCap_PoisonDrip","Medium"
"Lighting_Atmosphere","SceneHierarchy_DirectionalLight","Lighting/Visuals","Medium","StandardDirectionalLight","NA","URP_ForwardPlus","Full_Scene_Key_Light","UPGRADE","Needs warm morning key sunlight (1.35 intensity, warm tint, soft shadows) and atmospheric depth","CinematicSun_AtmosphericFog","Critical"
"URP_Volume_Profile","Assets/DefaultVolumeProfile.asset","Post-Processing","Low","EmptyVolumeProfile","NA","URP_Volume_System","SceneWide_PostProcessing","REPLACE","Empty volume profile; needs Bloom, ACES Tonemapping, SSAO Ambient Occlusion, and Color Grading","Populated_ACES_Bloom_SSAO_Profile","Critical"
